date,time_of_day,time_begin,time_end,logged_food,amount,unit,searched_food,calorie,total_carb,dietary_fiber,sugar,protein,total_fat
10/17/2019,10:05,10/17/2019 10:05,10:15,(Harris Teeter) Fat Free Organic Milk,1,cup,(Harris Teeter) Fat Free Organic Milk,80,13,0,12,8,0
10/17/2019,13:00,10/17/2019 13:00,13:10,(Peppridge Farm) Whole Wheat Hamburger Bun,1,,(Peppridge Farm) Whole Wheat Hamburger Bun,130,22,3,3,7,1.5
10/17/2019,13:00,10/17/2019 13:00,13:10,(Jif) Extra Crunchy Peanut Butter,2,tablespoon,(Jif) Extra Crunchy Peanut Butter,190,8,2,3,7,16
10/17/2019,16:35,10/17/2019 16:35,16:45,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2,cup,Homemade Chicken Noodle Soup ,124,15,1,1.3,6.3,4.7
10/17/2019,19:05,10/17/2019 19:05,19:20,Tilapia,58,gram,Tilapia,74,0,0,0,15,1.5
10/17/2019,19:05,10/17/2019 19:05,19:20,(Harris Teeter) Charleston Crabcake,52,gram,Crabcake,90,3.7,0.3,0.7,5.8,5.7
10/17/2019,19:05,10/17/2019 19:05,19:20,(Green Giant) Rice Cauliflower - Plain,42,gram,Riced Cauliflower,10.5,2.1,0.8,0.8,0.8,0.1
10/17/2019,19:05,10/17/2019 19:05,19:20,Broccoli - Steamed,85,gram,Steamed Broccoli,30,6.1,2.8,1.2,2,0.3
10/17/2019,19:05,10/17/2019 19:05,19:20,Lemon Juice,1,teaspoon,Lemon Juice,0.8,0.3,0,0.1,0,0
10/17/2019,20:50,10/17/2019 20:50,21:05,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200,48,12,0,8,2
10/17/2019,20:50,10/17/2019 20:50,21:05,Virgil's Zero Sugar Black Cherry Soda,12,ounce,(Virgil's) Zero Black Cherry Cream Soda,0,0,0,0,0,0
10/18/2019,9:45,10/18/2019 9:45,9:50,Std bfast,,,,280,56.5,1,24,8,2.5
10/18/2019,13:00,10/18/2019 13:00,13:15,(Firebirds Wood Fired Grill) Steak Sandwich with lettuce and onion,0.5,,(Firebirds Wood Fired Grill) Steak Sandwich,315,26.5,1.5,4.5,20.5,14
10/18/2019,13:00,10/18/2019 13:00,13:15,(Firebirds Wood Fired Grill) Seasoned Steak Fries,0.75,,(Firebirds Wood Fired Grill) Seasoned Steak Fries,457.5,59.3,7.5,0.8,6.8,21
10/18/2019,13:00,10/18/2019 13:00,13:15,(Alex's) Lemonade,8,ounce,Lemonade,99,26,0,25,0.2,0.1
10/18/2019,18:10,10/18/2019 18:10,18:25,Butter Lettuce,85,gram,Butter Lettuce,11,1.9,0.9,0.8,1.1,0.2
10/18/2019,18:10,10/18/2019 18:10,18:25,Red Onion,17,gram,Red Onion,7.5,1.7,0.2,0.8,0.2,0
10/18/2019,18:10,10/18/2019 18:10,18:25,(Toast) Red Wine Vinegrette,1,teaspoon,Red Wine Vinaigrette,12,0.6,0,0.5,0,1
10/18/2019,18:10,10/18/2019 18:10,18:25,Tilapia,50,gram,Tilapia,63.8,0,0,0,12.9,1.3
10/18/2019,18:10,10/18/2019 18:10,18:25,(Harris Teeter) Charleston Crabcake,29,gram,Crabcake,50.2,2.1,0.2,0.4,3.2,3.2
10/18/2019,18:10,10/18/2019 18:10,18:25,Lemon Juice,1,teaspoon,Lemon Juice,0.8,0.3,0,0.1,0,0
10/18/2019,18:40,10/18/2019 18:40,18:45,Pecans,30,gram,Pecans,207,4.2,2.9,1.2,2.8,22
10/18/2019,21:00,10/18/2019 21:00,21:10,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200,48,12,0,8,2
10/18/2019,22:30,10/18/2019 22:30,22:40,(Peppridge Farm) Whole Wheat Hamburger Bun,1,,(Peppridge Farm) Whole Wheat Hamburger Bun,130,22,3,3,7,1.5
10/18/2019,22:30,10/18/2019 22:30,22:40,Smart Balance,7,gram,Smart Balance,41,0,0,0,0,4.5
10/18/2019,22:30,10/18/2019 22:30,22:40,Navel Orange,212,gram,Navel Orange,104,27,4.7,18,1.9,0.3
10/19/2019,12:10,10/19/2019 12:10,12:20,(Quaker) Old Fashioned Oats,1,,(Quaker) Old Fashioned Oats,150,27,4,1,5,3
10/19/2019,12:10,10/19/2019 12:10,12:20,(Red Delicious) Apple with Skin,115,gram,Red Delicious Apple,68,16,2.6,12,0.3,0.2
10/19/2019,12:10,10/19/2019 12:10,12:20,Ground Flaxseeds,1,tablespoon,Flaxseed,55,3,2.8,0.2,1.9,4.3
10/19/2019,12:10,10/19/2019 12:10,12:20,(Now) Whole Psyllium Husks,2,tablespoon,(Now) Whole Psyllium Husks,35,8,7,0,0,0
10/19/2019,12:10,10/19/2019 12:10,12:20,Cinnamon,2,teaspoon,Cinnamon,13,4.2,2.8,0.1,0.2,0.1
10/19/2019,12:10,10/19/2019 12:10,12:20,(Harris Teeter) Fat Free Organic Milk,1,cup,(Harris Teeter) Fat Free Organic Milk,80,13,0,12,8,0
10/19/2019,16:15,10/19/2019 16:15,16:30,Chicken breaded with (Progesso) Italian Bread Crumbs,143,gram,Baked Breaded Chicken Tender,323,24,1.4,1.5,35,8.6
10/19/2019,16:15,10/19/2019 16:15,16:30,Potato,100,gram,Potato,93,21,2.2,1.2,2.5,0.1
10/19/2019,16:15,10/19/2019 16:15,16:30,Extra Virgin Olive Oil,1,tablespoon,Extra Virgin Olive Oil,119,0,0,0,0,14
10/19/2019,16:15,10/19/2019 16:15,16:30,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0,0,0,0,0,0
10/19/2019,20:25,10/19/2019 20:25,20:35,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",3,cup,,600,48,4.5,8.3,22.5,36
10/19/2019,21:30,10/19/2019 21:30,21:35,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",1,cup,,200,16,1.5,2.8,7.5,12
10/20/2019,10:40,10/20/2019 10:40,10:45,Std Bfast,,,,280,56.5,1,24,8,2.5
10/20/2019,13:40,10/20/2019 13:40,13:55,"Homemade soup with Hot Italian sausage, kale, cannolli beans, onion, garlic, (Kirkland) organic chicken stock, white wine",1,cup,,200,16,1.5,2.8,7.5,12
10/20/2019,18:35,10/20/2019 18:35,18:45,Chicken breaded with (Progesso) Italian Bread Crumbs,122,gram,Baked Breaded Chicken Tender,275.6,20.5,1.2,1.3,29.9,7.3
10/20/2019,18:35,10/20/2019 18:35,18:45,Potato,54,gram,Potato,50.2,11.3,1.2,0.6,1.4,0.1
10/20/2019,18:35,10/20/2019 18:35,18:45,Extra Virgin Olive Oil,1,tablespoon,Extra Virgin Olive Oil,119,0,0,0,0,14
10/20/2019,18:35,10/20/2019 18:35,18:45,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0,0,0,0,0,0
10/20/2019,21:20,10/20/2019 21:20,21:35,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200,48,12,0,8,2
10/20/2019,21:20,10/20/2019 21:20,21:35,Virgil's Zero Sugar Black Cherry Soda,12,ounce,(Virgil's) Zero Black Cherry Cream Soda,0,0,0,0,0,0
10/21/2019,10:30,10/21/2019 10:30,10:37,Std Bfast,,,,280,56.5,1,24,8,2.5
10/21/2019,13:45,10/21/2019 13:45,13:55,(Quaker) Old Fashioned Oats,1,,(Quaker) Old Fashioned Oats,150,27,4,1,5,3
10/21/2019,13:45,10/21/2019 13:45,13:55,(Red Delicious) Apple with Skin,101,gram,Red Delicious Apple,60,14,2.3,11,0.3,0.2
10/21/2019,13:45,10/21/2019 13:45,13:55,Ground Flaxseeds,1,tablespoon,Flaxseed,55,3,2.8,0.2,1.9,4.3
10/21/2019,13:45,10/21/2019 13:45,13:55,(Now) Whole Psyllium Husks,2,tablespoon,(Now) Whole Psyllium Husks,35,8,7,0,0,0
10/21/2019,13:45,10/21/2019 13:45,13:55,Cinnamon,2,teaspoon,Cinnamon,13,4.2,2.8,0.1,0.2,0.1
10/21/2019,13:45,10/21/2019 13:45,13:55,(Harris Teeter) Fat Free Organic Milk,1,cup,(Harris Teeter) Fat Free Organic Milk,80,13,0,12,8,0
10/21/2019,19:05,10/21/2019 19:05,19:20,Butter Lettuce,171,gram,Butter Lettuce,22.1,3.8,1.9,1.6,2.2,0.4
10/21/2019,19:05,10/21/2019 19:05,19:20,Chickpeas,90,gram,Chickpeas,147,24.1,6.8,4.3,8,2.3
10/21/2019,19:05,10/21/2019 19:05,19:20,Red Onion,34,gram,Red Onion,15,3.4,0.5,1.6,0.5,0.1
10/21/2019,19:05,10/21/2019 19:05,19:20,Chicken,48,gram,Chicken,105.8,0,0,0,11.4,6.3
10/21/2019,19:05,10/21/2019 19:05,19:20,(Toast) Red Wine Vinegrette,1,tablespoon,Red Wine Vinaigrette,35,1.8,0,1.6,0.1,3.1
10/22/2019,10:00,10/22/2019 10:00,10:15,(Quaker) Old Fashioned Oats,1,,(Quaker) Old Fashioned Oats,150,27,4,1,5,3
10/22/2019,10:00,10/22/2019 10:00,10:15,(Red Delicious) Apple with Skin,117,gram,Red Delicious Apple,69,16,2.7,12,0.3,0.2
10/22/2019,10:00,10/22/2019 10:00,10:15,Ground Flaxseeds,1,tablespoon,Flaxseed,55,3,2.8,0.2,1.9,4.3
10/22/2019,10:00,10/22/2019 10:00,10:15,(Now) Whole Psyllium Husks,2,tablespoon,(Now) Whole Psyllium Husks,35,8,7,0,0,0
10/22/2019,10:00,10/22/2019 10:00,10:15,Cinnamon,2,teaspoon,Cinnamon,13,4.2,2.8,0.1,0.2,0.1
10/22/2019,10:00,10/22/2019 10:00,10:15,(Harris Teeter) Fat Free Organic Milk,1,cup,(Harris Teeter) Fat Free Organic Milk,80,13,0,12,8,0
10/22/2019,16:10,10/22/2019 16:10,16:25,"Homemade Beef and Barley Soup with onion, celery, kale, (Simple Truth) fat free organic beef stock, and (Pacific) low sodium organic vegetable broth",3,cup,,324,49.5,5.6,7.6,18,6
10/22/2019,19:05,10/22/2019 19:05,19:35,Butter Lettuce,93,gram,Butter Lettuce,12,2.1,1,0.9,1.2,0.2
10/22/2019,19:05,10/22/2019 19:05,19:35,Chickpeas,53,gram,Chickpeas,86.6,14.2,4,2.5,4.7,1.3
10/22/2019,19:05,10/22/2019 19:05,19:35,Red Onion,12,gram,Red Onion,5.3,1.2,0.2,0.6,0.2,0
10/22/2019,19:05,10/22/2019 19:05,19:35,Chicken breaded with (Progesso) Italian Bread Crumbs,105,gram,Baked Breaded Chicken Tender,237.2,17.6,1,1.1,25.7,6.3
10/22/2019,19:05,10/22/2019 19:05,19:35,(Toast) Red Wine Vinegrette,2,teaspoon,Red Wine Vinaigrette,24,1.2,0,1.1,0,2
10/22/2019,19:05,10/22/2019 19:05,19:35,Potato,42,gram,Potato,39.1,8.8,0.9,0.5,1.1,0.1
10/22/2019,19:05,10/22/2019 19:05,19:35,Extra Virgin Olive Oil,0.5,tablespoon,Extra Virgin Olive Oil,59.5,0,0,0,0,7
10/22/2019,19:05,10/22/2019 19:05,19:35,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,1,tablespoon,(Crosse and Blackwell) Old Fashioned English Fish and Chip  Vinegar,0,0,0,0,0,0
10/23/2019,6:00,10/23/2019 6:00,6:05,Std Bfast,,,,280,56.5,1,24,8,2.5
10/23/2019,11:30,10/23/2019 11:30,11:35,(Peppridge Farm) Whole Wheat Hamburger Bun,1,,(Peppridge Farm) Whole Wheat Hamburger Bun,130,22,3,3,7,1.5
10/23/2019,11:30,10/23/2019 11:30,11:35,(Jif) Extra Crunchy Peanut Butter,2,tablespoon,(Jif) Extra Crunchy Peanut Butter,190,8,2,3,7,16
10/23/2019,13:20,10/23/2019 13:20,13:40,(NOSH) Owen's Crunchy Chicken Sandwich without dijonnaise,1,,Chicken Sandwich,468,39,2.6,6.8,30,21
10/23/2019,13:20,10/23/2019 13:20,13:40,(NOSH) Veggie Slaw Side Order,1,,,174,14,2.1,10,1,13
10/23/2019,16:00,10/23/2019 16:00,16:05,Hershey's Milk Chocolate Bar,43,gram,Hershey's Milk Chocolate Bar,220,26,1,24,3,13
10/23/2019,19:15,10/23/2019 19:15,19:30,Salad - Spring Mix,60,gram,Spring Mix,17,3.1,1.2,0.5,1.3,0.3
10/23/2019,19:15,10/23/2019 19:15,19:30,Chickpeas,78,gram,Chickpeas,127.4,20.9,5.9,3.7,6.9,2
10/23/2019,19:15,10/23/2019 19:15,19:30,Red Onion,18,gram,Red Onion,7.9,1.8,0.3,0.8,0.3,0
10/23/2019,19:15,10/23/2019 19:15,19:30,(Toast) Red Wine Vinegrette,1,teaspoon,Red Wine Vinaigrette,12,0.6,0,0.5,0,1
10/23/2019,19:15,10/23/2019 19:15,19:30,"Homemade Chicken Noodle Soup with chicken, onion, celery, (Kirkland) organic chicken stock, and (Amish Kitchens) wide egg noodles",2,cup,Homemade Chicken Noodle Soup ,124,15,1,1.3,6.3,4.7
10/23/2019,20:55,10/23/2019 20:55,21:05,(Jolly Time) Select Yellow Pop Corn - Air Popped,0.25,cup,(Jolly Time) Yellow Popcorn,200,48,12,0,8,2
10/23/2019,20:55,10/23/2019 20:55,21:05,Virgil's Zero Sugar Black Cherry Soda,12,ounce,(Virgil's) Zero Black Cherry Cream Soda,0,0,0,0,0,0
10/24/2019,8:30,10/24/2019 8:30,,Boost,,,,654,82,5.6,40,26,26
